eval_name,Precision,Type,T,Weight type,Architecture,fullname,#Params (B),MoE,CO2 cost (kg),Submission Date,Generation,Base Model
dnhkng_RYS-Phi-3-medium-4k-instruct_bfloat16,bfloat16,🟢 pretrained,🟢,Original,Phi3ForCausalLM,dnhkng/RYS-Phi-3-medium-4k-instruct,17.709,False,4.62109307336646,2024-08-07,0,dnhkng/RYS-Phi-3-medium-4k-instruct
dnhkng_RYS-XLarge_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,dnhkng/RYS-XLarge,77.965,False,27.1521657518909,2024-08-07,0,dnhkng/RYS-XLarge
dnhkng_RYS-XLarge-base_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,dnhkng/RYS-XLarge-base,77.972,False,27.1750473233423,2024-08-30,0,dnhkng/RYS-XLarge-base
dnhkng_RYS-XLarge2_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,dnhkng/RYS-XLarge2,77.965,False,26.7517691104376,2024-10-11,0,Removed
dreamgen_WizardLM-2-7B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,MistralForCausalLM,dreamgen/WizardLM-2-7B,7.242,False,1.13345000414341,2024-06-27,0,dreamgen/WizardLM-2-7B
dustinwloring1988_Reflexis-8b-chat-v1_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v1,8.03,False,1.78228315104679,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v2_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v2,8.03,False,1.88073945007677,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v3_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v3,8.03,False,1.78293417760914,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v4_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v4,8.03,False,1.77053950976166,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v5_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v5,8.03,False,1.82619261054557,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v6_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v6,8.03,False,1.79840574780758,2024-09-14,0,Removed
dustinwloring1988_Reflexis-8b-chat-v7_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dustinwloring1988/Reflexis-8b-chat-v7,8,False,1.80422203030222,2024-09-14,0,Removed
